Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,0,0.15,0.07,19.64583333,1970
Wheat,1,5.69,2.72,2.5,1970
Wheat,2,0.045,0.015,43,1970
Wheat,3,0.005,0.002,43,1970
Wheat,4,16.505,8.575,25.75,1970
Wheat,5,15.7,5.54,14,1970
Wheat,6,6.73,2.695,10.5,1970
Wheat,7,76.15,21.51,14.75,1970
Wheat,8,16.49,5.825,17.75,1970
Wheat,9,0.585,0.19,3.25,1970
Wheat,10,1.34,0.53,19.64583333,1970
Wheat,11,38.88,14.245,19.64583333,1970
Wheat,12,6.06,1.7,7.75,1970
Wheat,13,0.71,0.185,19.64583,1970
Wheat,14,61.315,21.9,19.64583,1970
Wheat,15,0.035,0.012,19.64583,1970
Wheat,16,39.15,14.03,19.64583,1970
Wheat,17,15.8,6.075,10,1970
Wheat,18,0.355,0.14,43.5,1970
Wheat,19,9.64,3.92,19.64583,1970
Wheat,0,0.37,0.18,14.63461538,1971
Wheat,1,6.21,3.37,14.5,1971
Wheat,2,0.005,0.002,2.5,1971
Wheat,3,0.005,0.002,2.5,1971
Wheat,4,19.71,10.42,18,1971
Wheat,5,15.65,5.265,31.5,1971
Wheat,6,2.025,0.61,4.75,1971
Wheat,7,73.635,22.415,21.75,1971
Wheat,8,16.875,5.325,4,1971
Wheat,9,0.775,0.275,1.5,1971
Wheat,10,1.37,0.545,14.63462,1971
Wheat,11,43.455,15.995,14.63462,1971
Wheat,12,6.995,1.65,14.5,1971
Wheat,13,0.73,0.18,14.63462,1971
Wheat,14,60.28,22.55,14.63462,1971
Wheat,15,0.02,0.005,14.63462,1971
Wheat,16,44.135,16.125,30.5,1971
Wheat,17,15.39,5.92,15.75,1971
Wheat,18,0.555,0.206,28.5,1971
Wheat,19,6.27,2.155,14.63462,1971
Wheat,0,0.205,0.079,4.692307778,1972
Wheat,1,7.01,3.41,4.75,1972
Wheat,2,0.007,0.002,0.5,1972
Wheat,3,0.005,0.002,0.5,1972
Wheat,4,25.65,12.094,0.25,1972
Wheat,5,14.65,4.832,2.75,1972
Wheat,6,8.48,2.819,0,1972
Wheat,7,49.935,9.692,17.5,1972
Wheat,8,10.095,3.04,1.25,1972
Wheat,9,0.38,0.095,0,1972
Wheat,10,1.415,0.442,4.692308,1972
Wheat,11,41.515,7.507,4.692308,1972
Wheat,12,6.49,1.495,5,1972
Wheat,13,0.465,0.111,4.692308,1972
Wheat,14,61.7,22.881,4.692308,1972
Wheat,15,0.012,0.003,4.692308,1972
Wheat,16,46.83,13.331,5.75,1972
