Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Jute,Bogra ,59005,171955,38,1970
Jute,Chittagong ,535,1725,67,1970
Jute,Chittagong H.T. ,350,475,67,1970
Jute,Comilla ,137550,462170,128,1970
Jute,Dhaka ,194695,686040,87,1970
Jute,Dinajpur ,111815,271515,50,1970
Jute,Faridpur ,239680,668180,89,1970
Jute,Jessore ,173135,528630,54,1970
Jute,Khulna ,42520,133115,60,1970
Jute,Mymensingh ,271025,797580,100,1970
Jute,Rangpur ,388695,1255935,69,1970
Jute,Sylhet ,28480,95915,459,1970
Jute,Bogra ,48380,111010,3,1971
Jute,Chittagong ,445,1375,22,1971
Jute,Chittagong H.T. ,540,1470,22,1971
Jute,Comilla ,130730,384345,15,1971
Jute,Dhaka ,192590,622465,115,1971
Jute,Dinajpur ,51100,91705,0,1971
Jute,Faridpur ,164305,329715,0,1971
Jute,Jessore ,123000,354040,0,1971
Jute,Khulna ,23485,57120,12,1971
Jute,Mymensingh ,171585,383905,0,1971
Jute,Rajshahi ,66875,138360,0,1971
Jute,Rangpur ,308640,761010,0,1971
Jute,Sylhet ,23150,56950,24,1971
Jute,Bogra ,46925,119825,51,1972
Jute,Chittagong ,440,1165,34,1972
Jute,Chittagong H.T. ,955,1875,34,1972
Jute,Comilla ,155125,530530,128,1972
Jute,Dhaka ,187440,604730,200,1972
Jute,Dinajpur ,79240,149075,1,1972
Jute,Faridpur ,241880,806030,145,1972
Jute,Jessore ,152270,479795,22,1972
Jute,Khulna ,33880,86710,62,1972
Jute,Mymensingh ,303180,887190,84,1972
Jute,Rajshahi ,74320,208940,36,1972
Jute,Rangpur ,393075,1108195,61,1972
Jute,Sylhet ,21055,50530,313,1972
Jute,Bogra ,62110,166375,121,1973
Jute,Chittagong ,10,25,204,1973
Jute,Chittagong H.T. ,1060,2585,204,1973
Jute,Comilla ,110940,389070,190,1973
Jute,Dhaka ,175200,503630,261,1973
Jute,Faridpur ,273125,714630,259,1973
Jute,Jessore ,203765,636805,123,1973
Jute,Khulna ,46320,157100,132,1973
Jute,Mymensingh ,277750,712350,133,1973
Jute,Patuakhali ,1240,2220,0,1973
Jute,Rajshahi ,89430,247610,77,1973
Jute,Rangpur ,390030,1109665,141,1973
Jute,Bogra ,16675,35560,147,1974
Jute,Chittagong ,300,795,187,1974
Jute,Chittagong H.T. ,595,1415,187,1974
Jute,Comilla ,80840,232820,174,1974
Jute,Faridpur ,156205,350630,177,1974
Jute,Jessore ,107565,343200,119,1974
Jute,Khulna ,28190,66020,171,1974
Jute,Mymensingh ,213290,523100,0,1974
Jute,Noakhali ,11820,25530,182,1974
Jute,Rajshahi ,44200,107185,64,1974
Jute,Sylhet ,15140,46175,327,1974
Jute,Bogra ,33490,91375,100,1975
Jute,Chittagong ,305,770,105,1975
Jute,Chittagong H.T. ,695,1865,105,1975
Jute,Comilla ,71745,263975,95,1975
Jute,Dhaka ,95395,350630,143,1975
Jute,Faridpur ,114275,383355,123,1975
Jute,Jessore ,68890,233575,50,1975
Jute,Mymensingh ,180785,553960,4,1975
Jute,Noakhali ,10870,31910,71,1975
Jute,Patuakhali ,1105,1935,62,1975
Jute,Rajshahi ,41715,26820,59,1975
Jute,Rangpur ,283565,796305,198,1975
Jute,Sylhet ,13335,27285,295,1975
Jute,Bogra ,45690,115265,75,1976
Jute,Chittagong ,305,770,58,1976
Jute,Chittagong H.T. ,550,1300,58,1976
Jute,Comilla ,85175,246155,120,1976
Jute,Dhaka ,140460,523270,203,1976
Jute,Faridpur ,134990,510850,169,1976
Jute,Jessore ,143470,460430,77,1976
Jute,Khulna ,33150,97625,116,1976
Jute,Mymensingh ,230850,635510,107,1976
Jute,Rajshahi ,52455,150595,83,1976
Jute,Rangpur ,322825,966725,107,1976
Jute,Sylhet ,12220,24320,286,1976
Jute,Bogra ,48780,130433,0,1977
Jute,Chittagong ,190,503,230,1977
Jute,Chittagong H.T. ,480,1134,230,1977
Jute,Comilla ,80455,867915,253,1977
Jute,Dhaka ,153155,566686,236,1977
Jute,Faridpur ,173910,537371,146,1977
Jute,Jessore ,175985,544843,114,1977
Jute,Khulna ,44665,114835,134,1977
Jute,Mymensingh ,267540,748222,352,1977
Jute,Noakhali ,9500,20710,319,1977
Jute,Patuakhali ,1200,1713,177,1977
Jute,Rajshahi ,63185,186289,157,1977
Jute,Rangpur ,334025,1042640,153,1977
Jute,Sylhet ,5200,5200,426,1977
Jute,Bogra ,60575,181555,185,1978
Jute,Chittagong ,315,727,140,1978
Jute,Chittagong H.T. ,480,1197,140,1978
Jute,Dhaka ,167250,628470,222,1978
Jute,Faridpur ,194195,627195,89,1978
Jute,Khulna ,51775,161339,109,1978
Jute,Mymensingh ,268810,773120,190,1978
Jute,Noakhali ,19040,57120,230,1978
Jute,Patuakhali ,1055,1340,269,1978
Jute,Rajshahi ,64315,181982,86,1978
Jute,Rangpur ,370100,1250675,149,1978
Jute,Sylhet ,8015,16030,347,1978
Jute,Barisal ,9130,16045,269,1981
Jute,Bogra ,52770,177300,151,1981
Jute,Chittagonj ,320,620,250,1981
Jute,Comilla ,79060,285405,318,1981
Jute,Dhaka ,128770,452640,218,1981
Jute,Dinajpur ,47485,166130,224,1981
Jute,Faridpur ,152210,427975,253,1981
Jute,Jessore ,161295,510705,190,1981
Jute,Khulna ,24200,72100,268,1981
Jute,Mymensingh ,117035,393455,233,1981
Jute,Noakhali ,5935,19405,361,1981
Jute,Patuakhali ,1095,1820,245,1981
Jute,Rajshahi ,29160,100290,185,1981
Jute,Rangamati ,425,970,191,1981
Jute,Rangpur ,272740,948240,194,1981
Jute,Sylhet ,8885,28875,510,1981
Jute,Barisal ,7185,12405,87,1982
Jute,Bogra ,48425,167045,67,1982
Jute,Chittagonj ,180,385,80,1982
Jute,Comilla ,75450,275390,199,1982
Jute,Dhaka ,121630,424715,113,1982
Jute,Dinajpur ,45095,150990,73,1982
Jute,Faridpur ,168000,485200,135,1982
Jute,Jessore ,166630,565155,116,1982
Jute,Khulna ,28855,100735,63,1982
Jute,Mymensingh ,106540,366615,155,1982
Jute,Noakhali ,3980,12735,192,1982
Jute,Patuakhali ,1080,1675,77,1982
Jute,Rajshahi ,39610,142410,87,1982
Jute,Rangamati ,250,530,62,1982
Jute,Rangpur ,269615,988000,68,1982
Jute,Sylhet ,7085,16650,440,1982
Jute,Barisal ,6970,13380,143,1983
Jute,Bogra ,36405,121210,139,1983
Jute,Chittagonj ,145,310,173,1983
Jute,Comilla ,72455,292720,160,1983
Jute,Dhaka ,116205,425560,268,1983
Jute,Dinajpur ,42690,142855,113,1983
Jute,Faridpur ,174165,585160,193,1983
Jute,Jessore ,170555,571730,164,1983
Jute,Khulna ,31515,122320,186,1983
Jute,Mymensingh ,108435,432370,61,1983
Jute,Noakhali ,3980,10745,233,1983
Jute,Patuakhali ,1125,1820,416,1983
Jute,Rajshahi ,47710,162130,53,1983
Jute,Rangamati ,250,585,246,1983
Jute,Rangpur ,275325,1029050,120,1983
Jute,Sylhet ,5380,11515,489,1983
Jute,Barisal ,6690,11715,129,1984
Jute,Bogra ,41250,119715,147,1984
Jute,Chittagonj ,140,240,184,1984
Jute,Comilla ,75345,286310,244,1984
Jute,Dhaka ,131390,437190,279,1984
Jute,Dinajpur ,61015,179345,117,1984
Jute,Faridpur ,207775,518470,202,1984
Jute,Jessore ,187125,504520,108,1984
Jute,Khulna ,48740,170390,108,1984
