Crops Name,Area Name,Area of Land in acres,Amount of Production in M.Tons,Rainfall in MM,Temparature degree cellcius,Year
Wheat,Comilla,115590,104110,44,25,1995
Wheat,Khulna,12460,10970,71,24,1995
Wheat,Bogra,48700,46860,26,24,1995
Wheat,Dhaka,84420,69240,38,24,1995
Wheat,Khagrachari,0,0,46,24,1995
Wheat,Faridpur,124690,89640,29,26,1995
Wheat,Rajshahi,180590,154100,23,25,1995
Wheat,Chittagonj,260,130,84,27,1995
Wheat,Dinajpur,230650,168750,24,26,1995
Wheat,Rangpur,180560,145920,30,25,1995
Wheat,Kustia,124770,107540,46,24,1995
Wheat,Jamalpur,68810,52450,46,25,1995
Wheat,Mymensingh,35740,24490,33,26,1995
Wheat,Kishoregonj,35700,26460,46,25,1995
Wheat,Barisal,14380,10150,54,27,1995
Wheat,Rangamati,20,20,57,25,1995
Wheat,Noakhali,1320,700,71,28,1995
Wheat,Bandarban,0,0,46,25,1995
Wheat,Sylhet,9870,7040,35,25,1995
Wheat,Jessore,161840,141540,40,23,1995
Wheat,Pabna,237860,162300,46,24,1995
Wheat,Patuakhali,5,3,79,24,1995
Wheat,Tangail,61200,46720,40,23,1995
Wheat,Mymensingh,27690,17990,4,24,1996
Wheat,Rajshahi,178450,152540,5,23,1996
Wheat,Rangamati,15,10,26,25,1996
Wheat,Kishoregonj,35840,27960,11,25,1996
Wheat,Chittagonj,325,160,28,25,1996
Wheat,Patuakhali,0,0,20,25,1996
Wheat,Dhaka,89640,71440,5,24,1996
Wheat,Sylhet,4400,2820,20,25,1996
Wheat,Bogra,52830,50920,8,25,1996
Wheat,Tangail,6220,47910,14,25,1996
Wheat,Jamalpur,70890,55670,11,25,1996
Wheat,Jessore,148040,134780,16,28,1996
Wheat,Noakhali,1410,850,5,26,1996
Wheat,Kustia,127250,117700,11,26,1996
Wheat,Rangpur,182460,157800,3,27,1996
Wheat,Dinajpur,247920,197850,5,28,1996
Wheat,Pabna,244210,192250,11,28,1996
Wheat,Comilla,119670,105780,6,27,1996
Wheat,Khagrachari,0,0,11,28,1996
Wheat,Faridpur,132660,101610,4,28,1996
Wheat,Khulna,7590,6770,7,27,1996
Wheat,Barisal,15570,11290,6,27,1996
Wheat,Bandarban,0,0,11,27,1996
Wheat,Rangamati,16,10,12,28,1997
Wheat,Faridpur,141040,118820,27,27,1997
Wheat,Mymensingh,33450,25100,11,28,1997
Wheat,Dhaka,97810,84850,8,27,1997
Wheat,Sylhet,5070,3620,17,28,1997
Wheat,Bandarban,0,0,16,26,1997
Wheat,Noakhali,1810,1240,11,27,1997
Wheat,Kishoregonj,40270,33130,16,27,1997
Wheat,Chittagonj,350,220,21,27,1997
Wheat,Khagrachari,12,5,16,26,1997
Wheat,Barisal,16790,12200,14,26,1997
Wheat,Dinajpur,310560,293870,17,27,1997
Wheat,Rajshahi,200800,183640,27,26,1997
Wheat,Khulna,8360,7540,13,28,1997
Wheat,Kustia,143020,134260,16,28,1997
Wheat,Bogra,56770,55120,13,28,1997
Wheat,Tangail,71120,56920,17,28,1997
Wheat,Jamalpur,80720,74060,16,28,1997
Wheat,Pabna,253420,227880,16,28,1997
Wheat,Jessore,165600,155150,21,28,1997
Wheat,Patuakhali,2,1,14,28,1997
Wheat,Comilla,133090,119970,13,28,1997
Wheat,Rangpur,228340,215210,16,34,1997
Wheat,Patuakhali,60,40,51,30,1998
Wheat,Khulna,9390,8410,71,32,1998
Wheat,Rangpur,273260,249900,3,33,1998
Wheat,Bandarban,0,0,38,34,1998
Wheat,Tangail,82600,64040,20,32,1998
Wheat,Kishoregonj,46570,37320,38,31,1998
Wheat,Jamalpur,93630,80170,38,33,1998
Wheat,Jessore,164060,152240,47,34,1998
Wheat,Rajshahi,217610,187070,14,32,1998
Wheat,Sylhet,5600,4030,16,32,1998
Wheat,Barisal,27420,17750,118,33,1998
Wheat,Rangamati,20,20,30,33,1998
Wheat,Khagrachari,10,5,38,32,1998
Wheat,Noakhali,3100,2140,62,33,1998
Wheat,Dinajpur,345170,316180,5,32,1998
Wheat,Mymensingh,35630,26270,13,33,1998
Wheat,Pabna,260820,230150,38,32,1998
Wheat,Dhaka,105630,88080,34,32,1998
Wheat,Chittagonj,370,230,58,32,1998
Wheat,Comilla,149290,126000,50,33,1998
Wheat,Kustia,148720,140500,38,31,1998
Wheat,Faridpur,153260,123860,42,31,1998
Wheat,Bogra,57420,54030,8,32,1998
Wheat,Comilla,121970,99860,11,31,1999
