Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,Bakergonj,150,70,19.64583333,1970
Wheat,Bogra,5690,2720,2.5,1970
Wheat,Chittagonj,45,15,43,1970
Wheat,Chittagonj  H.T,5,2,43,1970
Wheat,Comilla,16505,8575,25.75,1970
Wheat,Dhaka,15700,5540,14,1970
Wheat,Dinajpur,6730,2695,10.5,1970
Wheat,Faridpur,76150,21510,14.75,1970
Wheat,Jessore,16490,5825,17.75,1970
Wheat,Khulna,585,190,3.25,1970
Wheat,Kishoregonj,1340,530,19.64583333,1970
Wheat,Kustia,38880,14245,19.64583333,1970
Wheat,Mymensingh,6060,1700,7.75,1970
Wheat,Noakhali,710,185,19.64583,1970
Wheat,Pabna,61315,21900,19.64583,1970
Wheat,Patuakhali,35,12,19.64583,1970
Wheat,Rajshahi,39150,14030,19.64583,1970
Wheat,Rangpur,15800,6075,10,1970
Wheat,Sylhet,355,140,43.5,1970
Wheat,Tangail,9640,3920,19.64583,1970
Wheat,Bakergonj,370,180,14.63461538,1971
Wheat,Bogra,6210,3370,14.5,1971
Wheat,Chittagonj,5,2,2.5,1971
Wheat,Chittagonj  H.T,5,2,2.5,1971
Wheat,Comilla,19710,10420,18,1971
Wheat,Dhaka,15650,5265,31.5,1971
Wheat,Dinajpur,2025,610,4.75,1971
Wheat,Faridpur,73635,22415,21.75,1971
Wheat,Jessore,16875,5325,4,1971
Wheat,Khulna,775,275,1.5,1971
Wheat,Kishoregonj,1370,545,14.63462,1971
Wheat,Kustia,43455,15995,14.63462,1971
Wheat,Mymensingh,6995,1650,14.5,1971
Wheat,Noakhali,730,180,14.63462,1971
Wheat,Pabna,60280,22550,14.63462,1971
Wheat,Patuakhali,20,5,14.63462,1971
Wheat,Rajshahi,44135,16125,30.5,1971
Wheat,Rangpur,15390,5920,15.75,1971
Wheat,Sylhet,555,206,28.5,1971
Wheat,Tangail,6270,2155,14.63462,1971
Wheat,Bakergonj,205,79,4.692307778,1972
Wheat,Bogra,7010,3410,4.75,1972
Wheat,Chittagonj,7,2,0.5,1972
Wheat,Chittagonj  H.T,5,2,0.5,1972
Wheat,Comilla,25650,12094,0.25,1972
Wheat,Dhaka,14650,4832,2.75,1972
Wheat,Dinajpur,8480,2819,0,1972
Wheat,Faridpur,49935,9692,17.5,1972
Wheat,Jessore,10095,3040,1.25,1972
Wheat,Khulna,380,95,0,1972
Wheat,Kishoregonj,1415,442,4.692308,1972
Wheat,Kustia,41515,7507,4.692308,1972
Wheat,Mymensingh,6490,1495,5,1972
Wheat,Noakhali,465,111,4.692308,1972
Wheat,Pabna,61700,22881,4.692308,1972
Wheat,Patuakhali,12,3,4.692308,1972
Wheat,Rajshahi,46830,13331,5.75,1972
Wheat,Rangpur,14800,5421,11.75,1972
Wheat,Sylhet,565,209,11,1972
Wheat,Tangail,6645,2061,4.692308,1972
Wheat,Bakergonj,160,47,36.75,1973
Wheat,Bogra,7375,3633,32.25,1973
Wheat,Chittagonj,0,0,78,1973
Wheat,Chittagonj  H.T,0,0,78,1973
Wheat,Comilla,28465,15139,50,1973
Wheat,Dhaka,13550,4248,42.75,1973
Wheat,Dinajpur,15390,5501,36.75,1973
Wheat,Faridpur,42750,11572,28.25,1973
Wheat,Jessore,10905,3439,38,1973
Wheat,Khulna,330,81,1,1973
Wheat,Kishoregonj,1420,387,36.75,1973
Wheat,Kustia,42600,19278,36.75,1973
Wheat,Mymensingh,7405,1632,9.75,1973
Wheat,Noakhali,365,96,36.75,1973
Wheat,Pabna,62580,22866,36.75,1973
Wheat,Patuakhali,0,0,62.25,1973
Wheat,Rajshahi,48500,13215,13,1973
Wheat,Rangpur,14940,5587,7.75,1973
Wheat,Sylhet,655,244,36.75,1973
Wheat,Tangail,7625,2214,36.75,1973
Wheat,Barisal,165,48,5,1974
Wheat,Bogra,8080,3862,0.75,1974
Wheat,Chittagonj,0,0,17.5,1974
Wheat,Chittagonj  H.T,0,0,17.5,1974
Wheat,Comilla,38965,19075,16.25,1974
Wheat,Dhaka,13850,4080,3.642857143,1974
Wheat,Dinajpur,9455,3058,3.64,1974
Wheat,Faridpur,45275,13010,0.25,1974
Wheat,Jamalpur,0,0,3.64,1974
Wheat,Jessore,12165,4112,2.25,1974
Wheat,Khulna,804,240,0.25,1974
Wheat,Kishoregonj,970,277,3.64,1974
Wheat,Kustia,34320,9396,3.64,1974
Wheat,Mymensingh,7960,1604,0,1974
Wheat,Noakhali,525,147,20.75,1974
Wheat,Pabna,63845,23513,3.64,1974
Wheat,Patuakhali,0,0,3.64,1974
Wheat,Rajshahi,52400,14656,0,1974
Wheat,Rangpur,15100,5648,3.64,1974
Wheat,Sylhet,620,214,2,1974
Wheat,Tangail,6940,1930,3.64,1974
Wheat,Barisal,500,211,11.25,1975
Wheat,Bogra,14780,9771,2.75,1975
Wheat,Chittagonj,230,149,37.5,1975
Wheat,Chittagonj  H.T,0,0,37.5,1975
Wheat,Comilla,55500,38640,42.75,1975
Wheat,Dhaka,12980,5367,13.75,1975
Wheat,Dinajpur,22700,15484,0,1975
Wheat,Faridpur,33880,11789,9.25,1975
Wheat,Jamalpur,0,0,0,1975
Wheat,Jessore,21092,16014,3.5,1975
Wheat,Khulna,1384,888,3.5,1975
Wheat,Kishoregonj,6000,3380,3.5,1975
Wheat,Kustia,39300,39008,3.5,1975
Wheat,Mymensingh,8465,4948,0,1975
Wheat,Noakhali,5430,3192,52.5,1975
Wheat,Pabna,59000,27132,3.5,1975
Wheat,Patuakhali,0,0,25.25,1975
Wheat,Rajshahi,61100,25110,3.75,1975
Wheat,Rangpur,14265,7029,2,1975
Wheat,Sylhet,2000,691,30.75,1975
Wheat,Tangail,12300,5925,3.5,1975
Wheat,Barisal,105,54,17,1976
Wheat,Bogra,22610,19813,3.75,1976
Wheat,Chittagonj,570,267,66.75,1976
Wheat,Chittagonj  H.T,40,30,66.75,1976
Wheat,Comilla,66895,50578,5,1976
Wheat,Dhaka,19220,10734,3.75,1976
Wheat,Dinajpur,17900,12270,0,1976
Wheat,Faridpur,33475,12055,4.5,1976
Wheat,Jamalpur,0,0,14.75,1976
Wheat,Jessore,25610,20111,14.75,1976
Wheat,Khulna,2245,1917,14.75,1976
Wheat,Kishoregonj,6925,5359,14.75,1976
Wheat,Kustia,51900,38488,14.75,1976
Wheat,Mymensingh,8355,5330,2,1976
Wheat,Noakhali,1800,992,14,1976
Wheat,Pabna,42000,29059,14.75,1976
Wheat,Patuakhali,0,0,6,1976
Wheat,Rajshahi,60925,27669,2.75,1976
Wheat,Rangpur,14000,6960,0.25,1976
Wheat,Sylhet,5270,2084,14,1976
Wheat,Tangail,15635,11588,14.75,1976
Wheat,Barisal,15960,14204,24.5,1977
Wheat,Bogra,0,0,24,1977
Wheat,Chittagonj  H.T,65,36,26.5,1977
Wheat,Comilla,85,52,26.5,1977
Wheat,Dhaka,6000,2131,29.5,1977
Wheat,Dinajpur,31085,27802,25,1977
Wheat,Faridpur,22300,14082,8.5,1977
Wheat,Jamalpur,46495,24560,23.01666667,1977
Wheat,Jessore,190,107,24,1977
Wheat,Khulna,34940,23379,8,1977
Wheat,Kishoregonj,0,0,23.01,1977
