Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Jute,Bakergonj ,745,28920,,1969
Jute,Bogra ,5240,67720,,1969
Jute,Chittagong ,5,600,,1969
Jute,Chittagong H.T. ,5,305,,1969
Jute,Comilla ,0,170895,,1969
Jute,Dhaka ,9495,216925,,1969
Jute,Dinajpur ,7515,108805,,1969
Jute,Faridpur ,11750,317620,,1969
Jute,Jessore ,32355,167870,,1969
Jute,Khulna ,3745,59420,,1969
Jute,Kishoregonj ,220,182310,,1969
Jute,Kushtia ,21395,69095,,1969
Jute,Mymensingh ,29805,471100,,1969
Jute,Noakhali ,5,39530,,1969
Jute,Pabna ,14990,141200,,1969
Jute,Patuakhali ,0,2780,,1969
Jute,Rajshahi ,2730,118420,,1969
Jute,Rangpur ,80000,357260,,1969
Jute,Sylhet ,0,22195,,1969
Jute,Tangail ,0,0,,1969
Jute,Bakergonj ,29830,94305,,1970
Jute,Bogra ,59005,171955,37.66666667,1970
Jute,Chittagong ,535,1725,66.66666667,1970
Jute,Chittagong H.T. ,350,475,66.66666667,1970
Jute,Comilla ,137550,462170,128,1970
Jute,Dhaka ,194695,686040,86.66666667,1970
Jute,Dinajpur ,111815,271515,50.33333333,1970
Jute,Faridpur ,239680,668180,88.66666667,1970
Jute,Jessore ,173135,528630,53.66666667,1970
Jute,Khulna ,42520,133115,60,1970
Jute,Kishoregonj ,175680,558525,,1970
Jute,Kushtia ,78540,191965,,1970
Jute,Mymensingh ,271025,797580,99.66666667,1970
Jute,Noakhali ,29820,100790,,1970
Jute,Pabna ,91210,274605,,1970
Jute,Patuakhali ,2165,4415,,1970
Jute,Rajshahi ,69935,179900,,1970
Jute,Rangpur ,388695,1255935,68.66666667,1970
Jute,Sylhet ,28480,95915,459,1970
Jute,Tangail ,124410,323200,,1970
Jute,Bakergonj ,25885,50080,,1971
Jute,Bogra ,48380,111010,2.666666667,1971
Jute,Chittagong ,445,1375,21.66666667,1971
Jute,Chittagong H.T. ,540,1470,21.66666667,1971
Jute,Comilla ,130730,384345,15.33333333,1971
Jute,Dhaka ,192590,622465,114.6666667,1971
Jute,Dinajpur ,51100,91705,0,1971
Jute,Faridpur ,164305,329715,0,1971
Jute,Jessore ,123000,354040,0,1971
Jute,Khulna ,23485,57120,12.33333333,1971
Jute,Kishoregonj ,126790,264935,,1971
Jute,Kushtia ,38560,76250,,1971
Jute,Mymensingh ,171585,383905,0,1971
Jute,Noakhali ,21500,55040,,1971
Jute,Pabna ,85740,217915,,1971
Jute,Patuakhali ,1765,3250,,1971
Jute,Rajshahi ,66875,138360,0,1971
Jute,Rangpur ,308640,761010,0,1971
Jute,Sylhet ,23150,56950,24.33333333,1971
Jute,Tangail ,120495,325730,,1971
Jute,Bakergonj ,32920,98290,,1972
Jute,Bogra ,46925,119825,51.33333333,1972
Jute,Chittagong ,440,1165,34,1972
Jute,Chittagong H.T. ,955,1875,34,1972
Jute,Comilla ,155125,530530,128,1972
Jute,Dhaka ,187440,604730,200,1972
Jute,Dinajpur ,79240,149075,1.333333333,1972
Jute,Faridpur ,241880,806030,145.3333333,1972
Jute,Jessore ,152270,479795,22,1972
Jute,Khulna ,33880,86710,61.66666667,1972
Jute,Kishoregonj ,188610,478995,,1972
Jute,Kushtia ,94680,268845,,1972
Jute,Mymensingh ,303180,887190,83.66666667,1972
Jute,Noakhali ,20720,61330,,1972
Jute,Pabna ,94710,281370,,1972
Jute,Patuakhali ,1260,2220,,1972
Jute,Rajshahi ,74320,208940,35.66666667,1972
Jute,Rangpur ,393075,1108195,61.33333333,1972
Jute,Sylhet ,21055,50530,313,1972
Jute,Tangail ,135180,398085,,1972
Jute,Bakergonj ,35390,78105,,1973
