Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature Data,Year
Wheat,0,1,21510,0.33908046,,1970
Wheat,1,0.000590939,15,0.988505747,,1970
Wheat,2,0.007682206,190,0.074712644,,1970
Wheat,3,0.206172029,5540,0.32183908,,1970
Wheat,4,0.088378201,2695,0.24137931,,1970
Wheat,5,0.004661852,140,1,,1970
Wheat,6,0.805187131,21900,0.451628276,,1970
Wheat,7,0.126592252,3920,0.451628276,,1970
Wheat,8,0.000459619,12,0.451628276,,1970
Wheat,9,6.57E-05,2,0.988505747,,1970
Wheat,10,0.207485227,6075,0.229885057,,1970
Wheat,11,0.510571241,14245,0.451628352,,1970
Wheat,12,0.009323703,185,0.451628276,,1970
Wheat,13,0.074720946,2720,0.057471264,,1970
Wheat,14,0.017596848,530,0.451628352,,1970
Wheat,15,0.001969796,70,0.451628352,,1970
Wheat,16,0.079579777,1700,0.17816092,,1970
Wheat,17,0.514116875,14030,0.451628276,,1970
Wheat,18,0.21674327,8575,0.591954023,,1970
Wheat,19,0.21654629,5825,0.408045977,,1970
Wheat,0,0.007288247,206,0.655172414,,1971
Wheat,1,0.221602101,5325,0.091954023,,1971
Wheat,2,0.081549573,3370,0.333333333,,1971
Wheat,3,0.00026264,5,0.336428046,,1971
Wheat,4,6.57E-05,2,0.057471264,,1971
Wheat,5,0.010177282,275,0.034482759,,1971
Wheat,6,0.026592252,610,0.109195402,,1971
Wheat,7,0.966973079,22415,0.5,,1971
Wheat,8,0.570650033,15995,0.336428046,,1971
Wheat,9,0.009586343,180,0.336428046,,1971
Wheat,10,0.791595535,22550,0.336428046,,1971
Wheat,11,0.004858831,180,0.33642794,,1971
Wheat,12,0.579579777,16125,0.701149425,,1971
Wheat,13,0.091858175,1650,0.333333333,,1971
Wheat,14,0.20551543,5265,0.724137931,,1971
Wheat,15,0.202101116,5920,0.362068966,,1971
Wheat,16,0.082337492,2155,0.336428046,,1971
Wheat,17,6.57E-05,2,0.057471264,,1971
Wheat,18,0.017990808,545,0.336428046,,1971
Wheat,19,0.258831254,10420,0.413793103,,1971
Wheat,0,0.018581747,442,0.107869149,,1972
Wheat,1,9.19E-05,2,0.011494253,,1972
Wheat,2,6.57E-05,2,0.011494253,,1972
Wheat,3,0.65574524,9692,0.402298851,,1972
Wheat,4,0.614970453,13331,0.132183908,,1972
Wheat,5,0.006106369,111,0.107869149,,1972
Wheat,6,0.132567301,3040,0.028735632,,1972
Wheat,7,0.004990151,95,0,,1972
Wheat,8,0.002692055,79,0.107869144,,1972
Wheat,9,0.19435325,5421,0.270114943,,1972
Wheat,10,0.810242942,22881,0.107869149,,1972
Wheat,11,0.11135916,2819,0,,1972
Wheat,12,0.085226527,1495,0.114942529,,1972
Wheat,13,0.192383454,4832,0.063218391,,1972
Wheat,14,0.000157584,3,0.107869149,,1972
Wheat,15,0.336835194,12094,0.005747126,,1972
Wheat,16,0.007419567,209,0.252873563,,1972
Wheat,17,0.087261983,2061,0.107869149,,1972
Wheat,18,0.545173999,7507,0.107869149,,1972
Wheat,19,0.092055154,3410,0.109195402,,1972
Wheat,0,0.10013132,2214,0.844827586,,1973
Wheat,1,0.196191727,5587,0.17816092,,1973
Wheat,2,0.143204202,3439,0.873563218,,1973
Wheat,3,0.559422193,19278,0.844827586,,1973
Wheat,4,0.096848326,3633,0.74137931,,1973
Wheat,5,0.004333552,81,0.022988506,,1973
Wheat,6,0.002101116,47,0.844827586,,1973
Wheat,7,0.561391989,11572,0.649425287,,1973
Wheat,8,0.202101116,5501,0.844827586,,1973
Wheat,9,0.097242285,1632,0.224137931,,1973
Wheat,10,0.636900854,13215,0.298850575,,1973
Wheat,11,0.008601445,244,0.844827586,,1973
Wheat,12,0,0,1.431034483,,1973
Wheat,13,0.373801707,15139,1.149425287,,1973
Wheat,14,0.17793828,4248,0.982758621,,1973
Wheat,15,0.004793171,96,0.844827586,,1973
Wheat,16,0,0,1.793103448,,1973
Wheat,17,0,0,1.793103448,,1973
Wheat,18,0.018647406,387,0.844827586,,1973
Wheat,19,0.821799081,22866,0.844827586,,1973
Wheat,20,0,0,0.402298851,,1974
Wheat,1,0.688115561,14656,0,,1974
Wheat,2,0,0,0.402298851,,1974
Wheat,3,0.002166776,48,0.114942529,,1974
Wheat,4,0.181877873,4080,0.083743842,,1974
Wheat,5,0.450689429,9396,0.083678161,,1974
Wheat,6,0.511687459,19075,0.373563218,,1974
Wheat,7,0.008141825,214,0.045977011,,1974
Wheat,21,0.104530532,1604,0,,1974
Wheat,8,0.198292843,5648,0.083678161,,1974
Wheat,9,0.159750492,4112,0.051724138,,1974
Wheat,10,0,0,0.083678161,,1974
Wheat,11,0.091135916,1930,0.083678161,,1974
Wheat,12,0.838411031,23513,0.083678161,,1974
Wheat,13,0.106106369,3862,0.017241379,,1974
Wheat,14,0.006894288,147,0.477011494,,1974
Wheat,15,0.124162837,3058,0.083678161,,1974
Wheat,16,0.010558109,240,0.005747126,,1974
Wheat,17,0.59455023,13010,0.005747126,,1974
Wheat,18,0.012738017,277,0.083678161,,1974
Wheat,19,0,0,0.083678161,,1974
Wheat,20,0.298095863,15484,0,,1975
Wheat,1,0.728824688,38640,0.982758621,,1975
Wheat,2,0,0,0.862068966,,1975
Wheat,3,0,0,0.58045977,,1975
Wheat,4,0.802363756,25110,0.086206897,,1975
Wheat,5,0.078791858,3380,0.08045977,,1975
Wheat,6,0.11116218,4948,0,,1975
Wheat,7,0,0,0,,1975
Wheat,21,0.071306632,3192,1.206896552,,1975
Wheat,8,0.516086671,39008,0.08045977,,1975
Wheat,9,0.170453053,5367,0.316091954,,1975
Wheat,10,0.774786605,27132,0.08045977,,1975
Wheat,11,0.276979645,16014,0.08045977,,1975
Wheat,12,0.003020355,149,0.862068966,,1975
Wheat,13,0.187327643,7029,0.045977011,,1975
Wheat,14,0.444911359,11789,0.212643678,,1975
Wheat,15,0.006565988,211,0.25862069,,1975
Wheat,16,0.018174655,888,0.08045977,,1975
Wheat,17,0.161523309,5925,0.08045977,,1975
Wheat,18,0.194090611,9771,0.063218391,,1975
Wheat,19,0.026263953,691,0.706896552,,1975
Wheat,20,0,0,0.33908046,,1976
Wheat,1,0.336309915,20111,0.33908046,,1976
Wheat,2,0.001378858,54,0.390804598,,1976
Wheat,3,0.069205515,2084,0.32183908,,1976
Wheat,4,0.000525279,30,1.534482759,,1976
Wheat,5,0.551543007,29059,0.33908046,,1976
Wheat,6,0.296913986,19813,0.086206897,,1976
Wheat,7,0.878463559,50578,0.114942529,,1976
Wheat,21,0.023637557,992,0.32183908,,1976
Wheat,8,0.681549573,38488,0.33908046,,1976
Wheat,9,0.252396586,10734,0.086206897,,1976
Wheat,10,0.20531845,11588,0.33908046,,1976
Wheat,11,0.007485227,267,1.534482759,,1976
Wheat,12,0.029481287,1917,0.33908046,,1976
Wheat,13,0.183847669,6960,0.005747126,,1976
Wheat,14,0.235062377,12270,0,,1976
Wheat,15,0.439592909,12055,0.103448276,,1976
Wheat,16,0,0,0.137931034,,1976
Wheat,17,0.80006566,27669,0.063218391,,1976
Wheat,18,0.090938936,5359,0.33908046,,1976
Wheat,19,0.109717663,5330,0.045977011,,1976
Wheat,20,0.001116218,52,0.609195402,,1977
Wheat,1,0.292843073,14082,0.195402299,,1977
Wheat,3,0.056073539,4286,0.528965517,,1977
Wheat,4,0.458831254,23379,0.183908046,,1977
Wheat,5,0.800525279,64195,0.373563218,,1977
Wheat,6,0.078791858,2131,0.67816092,,1977
Wheat,7,0.209586343,14204,0.563218391,,1977
Wheat,21,0.630334865,34932,0.379310345,,1977
Wheat,8,0.408207485,27802,0.574712644,,1977
Wheat,9,0,0,0.528965517,,1977
Wheat,10,0,0,0.551724138,,1977
Wheat,11,0.071634931,4910,1.068965517,,1977
Wheat,12,0.610571241,24560,0.529118774,,1977
Wheat,13,0.782665791,32505,0.068965517,,1977
Wheat,14,0.135718976,6864,0.528965517,,1977
Wheat,15,0.000853578,36,0.609195402,,1977
Wheat,16,0.408798424,25097,0.528965517,,1977
Wheat,17,0.83328956,47438,0.856321839,,1977
Wheat,18,0.002495076,107,0.551724138,,1977
Wheat,19,0.007353907,210,0.672413793,,1977
Wheat,20,0.336309915,20111,0.102528736,,1978
Wheat,1,0,0,0.591954023,,1978
Wheat,2,0.183847669,6960,0.040229885,,1978
Wheat,3,0.029481287,1917,0.017241379,,1978
Wheat,4,0.001378858,54,0.017241379,,1978
Wheat,5,0.296913986,19813,0.011494253,,1978
Wheat,6,0.252396586,10734,0.114942529,,1978
Wheat,7,0.069205515,2084,0.011494253,,1978
Wheat,21,0.878463559,50578,0.102564103,,1978
Wheat,8,0.235062377,12270,0.102528736,,1978
Wheat,9,0.007485227,267,0,,1978
Wheat,10,0.090938936,5359,0.102528736,,1978
Wheat,11,0.023637557,992,0.045977011,,1978
Wheat,12,0.80006566,27669,0.408045977,,1978
Wheat,13,0.109717663,5330,0,,1978
Wheat,14,0,0,0.102528736,,1978
Wheat,15,0.439592909,12055,0.074712644,,1978
Wheat,16,0.20531845,11588,0.102528736,,1978
Wheat,17,0.551543007,29059,0.102528736,,1978
Wheat,18,0.681549573,38488,0.102528736,,1978
Wheat,19,0.000525279,30,0,,1978
Wheat,20,0.000853578,36,0.522988506,,1979
Wheat,1,0.071634931,4910,0.479310345,,1979
Wheat,2,0.135718976,6864,0.17816092,,1979
Wheat,3,0,0,0.540229885,,1979
Wheat,4,0.056073539,4286,0.396551724,,1979
Wheat,5,0.408798424,25097,0.479310345,,1979
Wheat,6,0.782665791,32505,0.67816092,,1979
Wheat,7,0.002495076,107,0.534482759,,1979
Wheat,21,0,0,0.479310345,,1979
Wheat,8,0.007353907,210,0.442528736,,1979
Wheat,9,0.83328956,47438,0.304597701,,1979
Wheat,10,0.209586343,14204,0.479310345,,1979
Wheat,11,0.078791858,2131,0.264367816,,1979
Wheat,12,0.408207485,27802,0.373563218,,1979
Wheat,13,0.292843073,14082,0.701149425,,1979
Wheat,14,0.458831254,23379,0.764367816,,1979
Wheat,15,0.341234406,15712,0.33908046,,1979
Wheat,16,0.001116218,52,0.522988506,,1979
Wheat,17,0.610571241,24560,0.626436782,,1979
Wheat,18,0.800525279,64195,0.479310345,,1979
Wheat,19,0.630334865,34932,0.479310345,,1979
Wheat,22,0.112738017,8170,0.309425287,,1980
Wheat,20,0.035325016,1470,0.32183908,,1980
Wheat,1,1.553644123,66740,0.390804598,,1980
Wheat,2,0.002298096,90,0.309425287,,1980
Wheat,4,0,0,0.309425287,,1980
Wheat,5,0.159159554,7760,0.189655172,,1980
Wheat,6,0.139986868,8400,0.309425287,,1980
Wheat,7,0.007682206,380,0.16091954,,1980
Wheat,21,0.840052528,49940,0.712643678,,1980
Wheat,8,1.010439921,58525,0.068965517,,1980
Wheat,23,0.148785292,8190,0.586206897,,1980
Wheat,9,0.00551543,245,0.494252874,,1980
Wheat,10,2.560604071,121005,0.247126437,,1980
Wheat,11,1.848719632,117060,0.235632184,,1980
Wheat,12,0.688049902,40810,0.309425287,,1980
Wheat,13,0,0,0.309425287,,1980
Wheat,14,0.067301379,2785,0.316091954,,1980
Wheat,15,2.663624425,46235,0.309425287,,1980
Wheat,16,3.267760998,195730,0.097701149,,1980
Wheat,24,0.640971766,31320,0.201149425,,1980
Wheat,17,0.287458963,12305,0.309425287,,1980
Wheat,18,1.78345371,115800,0.309425287,,1980
Wheat,19,1.36106369,82295,0.309425287,,1980
Wheat,22,0,0,0.618850575,,1981
Wheat,20,0.217137229,13080,0.747126437,,1981
Wheat,1,0.007747866,275,0.103448276,,1981
Wheat,2,0,0,0.618850575,,1981
Wheat,4,1.237229153,75170,0.91954023,,1981
Wheat,5,0.001116218,35,0.298850575,,1981
Wheat,6,0.142219304,10440,0.798850575,,1981
Wheat,7,1.523637557,73990,1.517241379,,1981
Wheat,21,1.312015758,71160,1.229885057,,1981
Wheat,8,0.134668418,8130,0.494252874,,1981
Wheat,23,0.026920552,830,0.618850575,,1981
Wheat,9,0.863230466,47500,0.770114943,,1981
Wheat,10,0.745961917,37560,0.551724138,,1981
Wheat,11,0.000393959,10,0.137931034,,1981
Wheat,12,2.455876559,118720,0.32183908,,1981
Wheat,13,0.181024294,10380,0.287356322,,1981
Wheat,14,1.154038083,73785,0.618850575,,1981
Wheat,15,0.071043992,2805,0.574712644,,1981
Wheat,16,1.748522653,106675,0.618850575,,1981
