Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,,Year
Wheat,0,150,70,19.64583333,,1970
Wheat,1,5690,2720,2.5,,1970
Wheat,2,45,15,43,,1970
Wheat,3,5,2,43,,1970
Wheat,4,16505,8575,25.75,,1970
Wheat,5,15700,5540,14,,1970
Wheat,6,6730,2695,10.5,,1970
Wheat,7,76150,21510,14.75,,1970
Wheat,8,16490,5825,17.75,,1970
Wheat,9,585,190,3.25,,1970
Wheat,10,1340,530,19.64583333,,1970
Wheat,11,38880,14245,19.64583333,,1970
Wheat,12,6060,1700,7.75,,1970
Wheat,13,710,185,19.64583,,1970
Wheat,14,61315,21900,19.64583,,1970
Wheat,15,35,12,19.64583,,1970
Wheat,16,39150,14030,19.64583,,1970
Wheat,17,15800,6075,10,,1970
Wheat,18,355,140,43.5,,1970
Wheat,19,9640,3920,19.64583,,1970
Wheat,0,370,180,14.63461538,,1971
Wheat,1,6210,3370,14.5,,1971
Wheat,2,5,2,2.5,,1971
Wheat,3,5,2,2.5,,1971
Wheat,4,19710,10420,18,,1971
Wheat,5,15650,5265,31.5,,1971
Wheat,6,2025,610,4.75,,1971
Wheat,7,73635,22415,21.75,,1971
Wheat,8,16875,5325,4,,1971
Wheat,9,775,275,1.5,,1971
Wheat,10,1370,545,14.63462,,1971
Wheat,11,43455,15995,14.63462,,1971
Wheat,12,6995,1650,14.5,,1971
Wheat,13,730,180,14.63462,,1971
Wheat,14,60280,22550,14.63462,,1971
Wheat,15,20,5,14.63462,,1971
Wheat,16,44135,16125,30.5,,1971
Wheat,17,15390,5920,15.75,,1971
Wheat,18,555,206,28.5,,1971
Wheat,19,6270,2155,14.63462,,1971
Wheat,0,205,79,4.692307778,,1972
Wheat,1,7010,3410,4.75,,1972
Wheat,2,7,2,0.5,,1972
Wheat,3,5,2,0.5,,1972
Wheat,4,25650,12094,0.25,,1972
Wheat,5,14650,4832,2.75,,1972
Wheat,6,8480,2819,0,,1972
Wheat,7,49935,9692,17.5,,1972
Wheat,8,10095,3040,1.25,,1972
Wheat,9,380,95,0,,1972
Wheat,10,1415,442,4.692308,,1972
Wheat,11,41515,7507,4.692308,,1972
Wheat,12,6490,1495,5,,1972
Wheat,13,465,111,4.692308,,1972
Wheat,14,61700,22881,4.692308,,1972
Wheat,15,12,3,4.692308,,1972
Wheat,16,46830,13331,5.75,,1972
Wheat,17,14800,5421,11.75,,1972
Wheat,18,565,209,11,,1972
Wheat,19,6645,2061,4.692308,,1972
Wheat,0,160,47,36.75,,1973
Wheat,1,7375,3633,32.25,,1973
Wheat,2,0,0,78,,1973
Wheat,3,0,0,78,,1973
Wheat,4,28465,15139,50,,1973
Wheat,5,13550,4248,42.75,,1973
Wheat,6,15390,5501,36.75,,1973
Wheat,7,42750,11572,28.25,,1973
Wheat,8,10905,3439,38,,1973
Wheat,9,330,81,1,,1973
Wheat,10,1420,387,36.75,,1973
Wheat,11,42600,19278,36.75,,1973
Wheat,12,7405,1632,9.75,,1973
Wheat,13,365,96,36.75,,1973
Wheat,14,62580,22866,36.75,,1973
Wheat,15,0,0,62.25,,1973
Wheat,16,48500,13215,13,,1973
Wheat,17,14940,5587,7.75,,1973
Wheat,18,655,244,36.75,,1973
Wheat,19,7625,2214,36.75,,1973
Wheat,20,165,48,5,,1974
Wheat,1,8080,3862,0.75,,1974
Wheat,2,0,0,17.5,,1974
Wheat,3,0,0,17.5,,1974
Wheat,4,38965,19075,16.25,,1974
Wheat,5,13850,4080,3.642857143,,1974
Wheat,6,9455,3058,3.64,,1974
Wheat,7,45275,13010,0.25,,1974
Wheat,21,0,0,3.64,,1974
Wheat,8,12165,4112,2.25,,1974
Wheat,9,804,240,0.25,,1974
Wheat,10,970,277,3.64,,1974
Wheat,11,34320,9396,3.64,,1974
Wheat,12,7960,1604,0,,1974
Wheat,13,525,147,20.75,,1974
Wheat,14,63845,23513,3.64,,1974
Wheat,15,0,0,3.64,,1974
Wheat,16,52400,14656,0,,1974
Wheat,17,15100,5648,3.64,,1974
Wheat,18,620,214,2,,1974
Wheat,19,6940,1930,3.64,,1974
Wheat,20,500,211,11.25,,1975
Wheat,1,14780,9771,2.75,,1975
Wheat,2,230,149,37.5,,1975
Wheat,3,0,0,37.5,,1975
Wheat,4,55500,38640,42.75,,1975
Wheat,5,12980,5367,13.75,,1975
Wheat,6,22700,15484,0,,1975
Wheat,7,33880,11789,9.25,,1975
Wheat,21,0,0,0,,1975
Wheat,8,21092,16014,3.5,,1975
Wheat,9,1384,888,3.5,,1975
Wheat,10,6000,3380,3.5,,1975
Wheat,11,39300,39008,3.5,,1975
Wheat,12,8465,4948,0,,1975
Wheat,13,5430,3192,52.5,,1975
Wheat,14,59000,27132,3.5,,1975
Wheat,15,0,0,25.25,,1975
Wheat,16,61100,25110,3.75,,1975
Wheat,17,14265,7029,2,,1975
Wheat,18,2000,691,30.75,,1975
Wheat,19,12300,5925,3.5,,1975
Wheat,20,105,54,17,,1976
Wheat,1,22610,19813,3.75,,1976
Wheat,2,570,267,66.75,,1976
Wheat,3,40,30,66.75,,1976
Wheat,4,66895,50578,5,,1976
Wheat,5,19220,10734,3.75,,1976
Wheat,6,17900,12270,0,,1976
Wheat,7,33475,12055,4.5,,1976
Wheat,21,0,0,14.75,,1976
Wheat,8,25610,20111,14.75,,1976
Wheat,9,2245,1917,14.75,,1976
Wheat,10,6925,5359,14.75,,1976
Wheat,11,51900,38488,14.75,,1976
Wheat,12,8355,5330,2,,1976
Wheat,13,1800,992,14,,1976
Wheat,14,42000,29059,14.75,,1976
Wheat,15,0,0,6,,1976
Wheat,16,60925,27669,2.75,,1976
Wheat,17,14000,6960,0.25,,1976
Wheat,18,5270,2084,14,,1976
Wheat,19,15635,11588,14.75,,1976
Wheat,20,15960,14204,24.5,,1977
Wheat,1,0,0,24,,1977
Wheat,3,65,36,26.5,,1977
Wheat,4,85,52,26.5,,1977
Wheat,5,6000,2131,29.5,,1977
Wheat,6,31085,27802,25,,1977
Wheat,7,22300,14082,8.5,,1977
Wheat,21,46495,24560,23.01666667,,1977
Wheat,8,190,107,24,,1977
Wheat,9,34940,23379,8,,1977
Wheat,10,0,0,23.01,,1977
Wheat,11,4270,4286,23.01,,1977
Wheat,12,5455,4910,46.5,,1977
Wheat,13,63455,47438,37.25,,1977
Wheat,14,31130,25097,23.01,,1977
Wheat,15,60960,64195,16.25,,1977
Wheat,16,48000,34932,16.5,,1977
Wheat,17,59600,32505,3,,1977
Wheat,18,560,210,29.25,,1977
Wheat,19,10335,6864,23.01,,1977
Wheat,20,105,54,0.75,,1978
Wheat,1,22610,19813,0.5,,1978
Wheat,2,570,267,0,,1978
Wheat,3,40,30,0,,1978
Wheat,4,66895,50578,4.461538462,,1978
Wheat,5,19220,10734,5,,1978
Wheat,6,17900,12270,4.46,,1978
Wheat,7,33475,12055,3.25,,1978
Wheat,21,0,0,4.46,,1978
Wheat,8,25610,20111,4.46,,1978
Wheat,9,2245,1917,0.75,,1978
Wheat,10,6925,5359,4.46,,1978
Wheat,11,51900,38488,4.46,,1978
Wheat,12,8355,5330,0,,1978
Wheat,13,1800,992,2,,1978
Wheat,14,42000,29059,4.46,,1978
Wheat,15,0,0,25.75,,1978
Wheat,16,60925,27669,17.75,,1978
Wheat,17,14000,6960,1.75,,1978
Wheat,18,5270,2084,0.5,,1978
Wheat,19,15635,11588,4.46,,1978
Wheat,20,190,107,23.25,,1979
Wheat,1,31085,27802,16.25,,1979
Wheat,2,65,36,22.75,,1979
Wheat,3,85,52,22.75,,1979
Wheat,4,63455,47438,13.25,,1979
Wheat,5,22300,14082,30.5,,1979
Wheat,6,31130,25097,20.85,,1979
Wheat,7,46495,24560,27.25,,1979
Wheat,21,0,0,20.85,,1979
Wheat,8,34940,23379,33.25,,1979
Wheat,9,4270,4286,17.25,,1979
Wheat,10,5455,4910,20.85,,1979
Wheat,11,60960,64195,20.85,,1979
Wheat,12,10335,6864,7.75,,1979
Wheat,13,560,210,19.25,,1979
Wheat,14,48000,34932,20.85,,1979
Wheat,15,0,0,23.5,,1979
Wheat,16,59600,32505,29.5,,1979
Wheat,17,25985,15712,14.75,,1979
Wheat,18,6000,2131,11.5,,1979
Wheat,19,15960,14204,20.85,,1979
Wheat,22,0,0,13.46,,1980
Wheat,20,5125,2785,13.75,,1980
Wheat,1,76945,58525,3,,1980
Wheat,2,585,380,7,,1980
Wheat,4,194990,121005,10.75,,1980
Wheat,5,48810,31320,8.75,,1980
Wheat,6,202835,46235,13.46,,1980
Wheat,7,63970,49940,31,,1980
Wheat,21,10660,8400,13.46,,1980
Wheat,8,118310,66740,17,,1980
Wheat,23,0,0,13.46,,1980
Wheat,9,11330,8190,25.5,,1980
Wheat,10,21890,12305,13.46,,1980
Wheat,11,135810,115800,13.46,,1980
