Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Patuakhali,35,12,19.64583,,1970,,0.999739031,25
Wheat,Kishoregonj,1340,530,19.64583333,,1970,,0.999630733,24
Wheat,Comilla,16505,8575,25.75,,1970,,0.999599324,24
Wheat,Khulna,585,190,3.25,,1970,,0.998418727,24
Wheat,Sylhet,355,140,43.5,,1970,,0.998114198,24
Wheat,Rajshahi,39150,14030,19.64583,,1970,,0.997532149,26
Wheat,Rangpur,15800,6075,10,,1970,,0.997327491,25
Wheat,Dinajpur,6730,2695,10.5,,1970,,0.996113591,27
Wheat,Faridpur,76150,21510,14.75,,1970,,0.995609254,26
Wheat,Tangail,9640,3920,19.64583,,1970,,0.995446306,25
Wheat,Kustia,38880,14245,19.64583333,,1970,,0.994859815,24
Wheat,Chittagonj,45,15,43,,1970,,0.993884113,25
Wheat,Chittagonj  H.T,5,2,43,,1970,,0.993755437,26
Wheat,Bogra,5690,2720,2.5,,1970,,0.99371058,25
Wheat,Pabna,61315,21900,19.64583,,1970,,0.993386076,27
Wheat,Dhaka,15700,5540,14,,1970,,0.99322182,25
Wheat,Mymensingh,6060,1700,7.75,,1970,,0.993159171,28
Wheat,Jessore,16490,5825,17.75,,1970,,0.993145898,25
Wheat,Bakergonj,150,70,19.64583333,,1970,,0.992937687,25
Wheat,Noakhali,710,185,19.64583,,1970,,0.992270828,23
Wheat,Bakergonj,370,180,14.63461538,,1971,,0.992243886,24
Wheat,Faridpur,73635,22415,21.75,,1971,,0.990668816,24
Wheat,Tangail,6270,2155,14.63462,,1971,,0.990653157,23
Wheat,Kishoregonj,1370,545,14.63462,,1971,,0.990000426,24
Wheat,Dhaka,15650,5265,31.5,,1971,,0.989823568,23
Wheat,Mymensingh,6995,1650,14.5,,1971,,0.98971607,25
Wheat,Patuakhali,20,5,14.63462,,1971,,0.989601197,25
Wheat,Jessore,16875,5325,4,,1971,,0.988119466,25
Wheat,Comilla,19710,10420,18,,1971,,0.987991363,25
Wheat,Dinajpur,2025,610,4.75,,1971,,0.987154168,24
Wheat,Sylhet,555,206,28.5,,1971,,0.987153697,25
Wheat,Bogra,6210,3370,14.5,,1971,,0.986974629,25
Wheat,Kustia,43455,15995,14.63462,,1971,,0.986720535,25
Wheat,Chittagonj  H.T,5,2,2.5,,1971,,0.986288786,25
Wheat,Khulna,775,275,1.5,,1971,,0.986045554,28
Wheat,Rajshahi,44135,16125,30.5,,1971,,0.985887593,26
Wheat,Rangpur,15390,5920,15.75,,1971,,0.985078533,26
Wheat,Pabna,60280,22550,14.63462,,1971,,0.984092075,27
Wheat,Noakhali,730,180,14.63462,,1971,,0.983990153,28
Wheat,Chittagonj,5,2,2.5,,1971,,0.982408872,28
Wheat,Sylhet,565,209,11,,1972,,0.982287306,27
Wheat,Tangail,6645,2061,4.692308,,1972,,0.981911125,28
Wheat,Dhaka,14650,4832,2.75,,1972,,0.980957872,28
Wheat,Rangpur,14800,5421,11.75,,1972,,0.980279418,27
Wheat,Bakergonj,205,79,4.692307778,,1972,,0.979582948,27
Wheat,Pabna,61700,22881,4.692308,,1972,,0.979499614,27
Wheat,Noakhali,465,111,4.692308,,1972,,0.979379316,28
Wheat,Kishoregonj,1415,442,4.692308,,1972,,0.978200928,27
Wheat,Patuakhali,12,3,4.692308,,1972,,0.976488868,28
Wheat,Chittagonj,7,2,0.5,,1972,,0.975762259,27
Wheat,Bogra,7010,3410,4.75,,1972,,0.974827784,28
Wheat,Mymensingh,6490,1495,5,,1972,,0.974659587,26
Wheat,Dinajpur,8480,2819,0,,1972,,0.973765774,27
Wheat,Chittagonj  H.T,5,2,0.5,,1972,,0.973192004,27
Wheat,Jessore,10095,3040,1.25,,1972,,0.9731445,27
Wheat,Khulna,380,95,0,,1972,,0.972484614,26
Wheat,Rajshahi,46830,13331,5.75,,1972,,0.971153272,26
Wheat,Faridpur,49935,9692,17.5,,1972,,0.970764361,27
Wheat,Comilla,25650,12094,0.25,,1972,,0.968953299,26
Wheat,Kustia,41515,7507,4.692308,,1972,,0.967998435,28
Wheat,Faridpur,42750,11572,28.25,,1973,,0.967556107,28
Wheat,Patuakhali,0,0,62.25,,1973,,0.967021952,28
Wheat,Chittagonj,0,0,78,,1973,,0.966145963,28
Wheat,Bakergonj,160,47,36.75,,1973,,0.965578252,28
Wheat,Noakhali,365,96,36.75,,1973,,0.965438266,28
Wheat,Rajshahi,48500,13215,13,,1973,,0.961977234,28
Wheat,Jessore,10905,3439,38,,1973,,0.961848682,28
Wheat,Kishoregonj,1420,387,36.75,,1973,,0.961808171,28
Wheat,Bogra,7375,3633,32.25,,1973,,0.961584725,34
Wheat,Dinajpur,15390,5501,36.75,,1973,,0.960914676,30
Wheat,Kustia,42600,19278,36.75,,1973,,0.960253726,32
Wheat,Khulna,330,81,1,,1973,,0.958751333,33
Wheat,Rangpur,14940,5587,7.75,,1973,,0.957845093,34
Wheat,Sylhet,655,244,36.75,,1973,,0.957426803,32
Wheat,Pabna,62580,22866,36.75,,1973,,0.957366253,31
Wheat,Comilla,28465,15139,50,,1973,,0.957332264,33
Wheat,Tangail,7625,2214,36.75,,1973,,0.956684151,34
Wheat,Dhaka,13550,4248,42.75,,1973,,0.953460962,32
Wheat,Mymensingh,7405,1632,9.75,,1973,,0.953066275,32
Wheat,Chittagonj  H.T,0,0,78,,1973,,0.95277876,33
Wheat,Jamalpur,0,0,3.64,,1974,,0.952268782,33
Wheat,Tangail,6940,1930,3.64,,1974,,0.95221484,32
Wheat,Kishoregonj,970,277,3.64,,1974,,0.952166496,33
Wheat,Khulna,804,240,0.25,,1974,,0.951977,32
Wheat,Kustia,34320,9396,3.64,,1974,,0.951574807,33
Wheat,Noakhali,525,147,20.75,,1974,,0.951375898,32
