Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Year
Wheat,0,0,0,20,1970
Wheat,1,6,3,3,1970
Wheat,2,0,0,43,1970
Wheat,3,0,0,43,1970
Wheat,4,17,9,26,1970
Wheat,5,16,6,14,1970
Wheat,6,7,3,11,1970
Wheat,7,76,22,15,1970
Wheat,8,16,6,18,1970
Wheat,9,1,0,3,1970
Wheat,10,1,1,20,1970
Wheat,11,39,14,20,1970
Wheat,12,6,2,8,1970
Wheat,13,1,0,20,1970
Wheat,14,61,22,20,1970
Wheat,15,0,0,20,1970
Wheat,16,39,14,20,1970
Wheat,17,16,6,10,1970
Wheat,18,0,0,44,1970
Wheat,19,10,4,20,1970
Wheat,0,0,0,15,1971
Wheat,1,6,3,15,1971
Wheat,2,0,0,3,1971
Wheat,3,0,0,3,1971
Wheat,4,20,10,18,1971
Wheat,5,16,5,32,1971
Wheat,6,2,1,5,1971
Wheat,7,74,22,22,1971
Wheat,8,17,5,4,1971
Wheat,9,1,0,2,1971
Wheat,10,1,1,15,1971
Wheat,11,43,16,15,1971
Wheat,12,7,2,15,1971
Wheat,13,1,0,15,1971
Wheat,14,60,23,15,1971
Wheat,15,0,0,15,1971
Wheat,16,44,16,31,1971
Wheat,17,15,6,16,1971
Wheat,18,1,0,29,1971
Wheat,19,6,2,15,1971
Wheat,0,0,0,5,1972
Wheat,1,7,3,5,1972
Wheat,2,0,0,1,1972
Wheat,3,0,0,1,1972
Wheat,4,26,12,0,1972
Wheat,5,15,5,3,1972
Wheat,6,8,3,0,1972
Wheat,7,50,10,18,1972
Wheat,8,10,3,1,1972
Wheat,9,0,0,0,1972
Wheat,10,1,0,5,1972
Wheat,11,42,8,5,1972
Wheat,12,6,1,5,1972
Wheat,13,0,0,5,1972
Wheat,14,62,23,5,1972
Wheat,15,0,0,5,1972
Wheat,16,47,13,6,1972
Wheat,17,15,5,12,1972
Wheat,18,1,0,11,1972
Wheat,19,7,2,5,1972
Wheat,0,0,0,37,1973
Wheat,1,7,4,32,1973
Wheat,2,0,0,78,1973
Wheat,3,0,0,78,1973
Wheat,4,28,15,50,1973
Wheat,5,14,4,43,1973
Wheat,6,15,6,37,1973
Wheat,7,43,12,28,1973
Wheat,8,11,3,38,1973
Wheat,9,0,0,1,1973
Wheat,10,1,0,37,1973
Wheat,11,43,19,37,1973
Wheat,12,7,2,10,1973
Wheat,13,0,0,37,1973
Wheat,14,63,23,37,1973
Wheat,15,0,0,62,1973
Wheat,16,49,13,13,1973
Wheat,17,15,6,8,1973
Wheat,18,1,0,37,1973
Wheat,19,8,2,37,1973
Wheat,20,0,0,5,1974
Wheat,1,8,4,1,1974
Wheat,2,0,0,18,1974
Wheat,3,0,0,18,1974
Wheat,4,39,19,16,1974
Wheat,5,14,4,4,1974
Wheat,6,9,3,4,1974
Wheat,7,45,13,0,1974
Wheat,21,0,0,4,1974
Wheat,8,12,4,2,1974
Wheat,9,1,0,0,1974
Wheat,10,1,0,4,1974
Wheat,11,34,9,4,1974
Wheat,12,8,2,0,1974
Wheat,13,1,0,21,1974
Wheat,14,64,24,4,1974
Wheat,15,0,0,4,1974
Wheat,16,52,15,0,1974
Wheat,17,15,6,4,1974
Wheat,18,1,0,2,1974
Wheat,19,7,2,4,1974
Wheat,20,1,0,11,1975
Wheat,1,15,10,3,1975
Wheat,2,0,0,38,1975
Wheat,3,0,0,38,1975
Wheat,4,56,39,43,1975
Wheat,5,13,5,14,1975
Wheat,6,23,15,0,1975
Wheat,7,34,12,9,1975
Wheat,21,0,0,0,1975
